10/28/2021	1.3797
10/29/2021	1.3685
10/30/2021	1.3685
11/1/2021	1.366
11/2/2021	1.3615
11/3/2021	1.3692
11/4/2021	1.3503
11/5/2021	1.3503
11/6/2021	1.3498
11/8/2021	1.3566
11/9/2021	1.3556
11/10/2021	1.341
11/11/2021	1.3368
11/12/2021	1.3415
11/13/2021	1.3415
11/15/2021	1.3411
11/16/2021	1.3427
11/17/2021	1.3491
11/18/2021	1.3498
11/19/2021	1.3445
11/20/2021	1.3445
11/22/2021	1.3396
11/23/2021	1.3376
11/24/2021	1.3327
11/25/2021	1.3318
11/26/2021	1.3343
11/27/2021	1.3343
11/29/2021	1.3308
11/30/2021	1.3296
12/1/2021	1.3277
12/2/2021	1.3304
12/3/2021	1.3233
12/4/2021	1.3233
12/6/2021	1.3261
12/7/2021	1.3244
12/8/2021	1.3206
12/9/2021	1.3221
12/10/2021	1.3272
12/11/2021	1.327
12/13/2021	1.3214
12/14/2021	1.323
12/15/2021	1.3265
12/16/2021	1.3324
12/17/2021	1.3235
12/18/2021	1.3235
12/20/2021	1.321
12/21/2021	1.3265
12/22/2021	1.335
12/23/2021	1.3412
12/24/2021	1.3385
12/25/2021	1.3388
12/27/2021	1.3442
12/28/2021	1.3435
12/29/2021	1.3487
12/30/2021	1.3501
12/31/2021	1.352
1/1/2022	1.3532
1/3/2022	1.3474
1/4/2022	1.3527
1/5/2022	1.3553
1/6/2022	1.3534
1/7/2022	1.3595
1/8/2022	1.3595
1/10/2022	1.3577
1/11/2022	1.3633
1/12/2022	1.3707
1/13/2022	1.3709
1/14/2022	1.3676
1/15/2022	1.3676
1/17/2022	1.3647
1/18/2022	1.3598
1/19/2022	1.3613
1/20/2022	1.36
1/21/2022	1.3557
1/22/2022	1.3555
1/24/2022	1.3493
1/25/2022	1.3507
1/26/2022	1.347
